Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made,Sales_Growth,Satisfaction_Growth,Engagement_Score,ROI_index
Treatment,,239.4267377,379.7961423,84.93412641,93.88778506,Yes,140.3694046,8.95365865,20.98419,58.62728864
Treatment,Medium Value,171.2982289,272.3105465,69.95465981,80.96676346,Yes,101.0123176,11.01210365,17.38912,58.96868768
Control,High Value,150.4173306,,79.57595781,,Yes,-150.4173306,-79.57595781,19.69823,-100
Treatment,Medium Value,149.2382904,,,73.92144865,No,-149.2382904,73.92144865,0.6,-100
Treatment,High Value,301.0101349,465.6277052,100,100,No,164.6175703,0,24.6,54.68838129
Treatment,High Value,,428.8296847,61.06156997,63.91971574,Yes,428.8296847,2.85814577,0,0
Treatment,,170.1969512,264.8889462,95.69954486,99.9344717,Yes,94.691995,4.23492684,23.56789,55.63671636
Treatment,,,253.0430175,72.97255942,87.74809566,No,253.0430175,14.77553624,0,0
Treatment,,199.5774713,332.8141919,75.90961129,73.92144865,Yes,133.2367206,-1.98816264,18.81831,66.75939911
Treatment,Low Value,214.1325364,345.1537953,43.18810531,52.88574407,,131.0212589,9.69763876,10.96515,61.18699246
Control,High Value,105.4559611,131.5475657,,71.34804089,No,26.0916046,71.34804089,0.6,24.74170671
Control,Low Value,136.0245667,165.0231943,56.57079344,64.52684401,Yes,28.9986276,7.95605057,14.17699,21.31866934
,,,310.5125439,52.8267799,68.44252248,No,310.5125439,15.61574258,0,0
,Medium Value,194.1609317,237.3422196,72.33377738,71.10800914,Yes,43.1812879,-1.22576824,17.96011,22.23994679
Control,,170.1545521,207.4235034,72.29033947,82.38635378,No,37.2689513,10.09601431,17.94968,21.90299986
Treatment,,,284.1530511,69.33056949,82.46652311,Yes,284.1530511,13.13595362,0,0
Control,,,,87.59245886,,Yes,0,-87.59245886,0,0
Treatment,Low Value,144.8561796,216.622799,62.10489624,69.62131516,,71.7666194,7.51641892,15.50518,49.54336059
Treatment,Medium Value,127.5154204,195.9483282,58.65293464,64.41197278,Yes,68.4329078,5.75903814,14.6767,53.66637822
Treatment,Low Value,157.4703206,,,65.49993043,No,-157.4703206,65.49993043,0.6,-100
Control,,174.8942854,219.1307732,53.23310482,59.45454472,Yes,44.2364878,6.2214399,13.37595,25.29327228
Control,,75.68453493,98.72497609,84.71841154,100,No,23.04044116,15.28158846,20.93242,30.44273336
Control,High Value,224.6109003,270.4802071,87.86933191,82.22189375,No,45.8693068,-5.64743816,21.68864,20.42167443
Control,Low Value,,235.2632633,51.71472659,53.44204821,Yes,235.2632633,1.72732162,0,0
Treatment,Low Value,148.7817378,228.1336662,37.82015662,41.05504767,Yes,79.3519284,3.23489105,9.67684,53.3344546
Treatment,High Value,183.0134482,295.0234319,100,100,Yes,112.0099837,0,24.6,61.2031437
Control,High Value,147.1855146,183.7152767,91.44506932,87.00417455,Yes,36.5297621,-4.44089477,22.54682,24.8188568
Treatment,Low Value,155.7753205,242.9630408,49.84076683,46.75433507,Yes,87.1877203,-3.08643176,12.56178,55.97017552
Treatment,High Value,164.9952321,259.4825972,73.29422448,90.07003372,Yes,94.4873651,16.77580924,18.19061,57.26672456
Control,High Value,273.7199537,345.811587,79.47064129,,Yes,72.0916333,-79.47064129,19.67295,26.337734
Treatment,Low Value,,263.2140549,57.77084354,65.9479001,Yes,263.2140549,8.17705656,0,0
Control,Low Value,,78.78064016,42.7558774,,,78.78064016,-42.7558774,0,0
Treatment,Medium Value,204.7371536,,60.37654224,,No,-204.7371536,-60.37654224,15.09037,-100
,,239.9010112,285.0747453,51.75033843,61.70033167,No,45.1737341,9.94999324,13.02008,18.83015577
Treatment,High Value,,368.1108391,65.74619721,,Yes,368.1108391,-65.74619721,0,0
Treatment,Low Value,203.8462203,316.8969556,,40.33684432,No,113.0507353,40.33684432,0.6,55.4588332
Control,Low Value,197.8930685,244.4451312,48.08991927,,No,46.5520627,-48.08991927,12.14158,23.52384702
,Low Value,,263.1906055,32.92331134,37.19848454,Yes,263.1906055,4.2751732,0,0
Control,,216.4777143,251.8763896,67.25307781,,No,35.3986753,-67.25307781,16.74074,16.35211062
,Medium Value,225.257503,277.2831767,55.2307433,49.84658404,No,52.0256737,-5.38415926,13.85538,23.09608915
Treatment,High Value,212.5637887,345.20866,100,92.88531117,No,132.6448713,-7.11468883,24.6,62.40238383
Treatment,Medium Value,96.83612682,154.2625856,,62.14787698,Yes,57.42645878,62.14787698,0.6,59.30272169
Control,Low Value,101.3976537,129.8288807,56.90105745,,Yes,28.431227,-56.90105745,14.25625,28.03933421
Treatment,Medium Value,139.340003,243.0929437,70.22285912,79.70966363,Yes,103.7529407,9.48680451,17.45349,74.46026874
,Low Value,50.90156616,65.47562053,44.86993638,43.36825902,Yes,14.57405437,-1.50167736,11.36878,28.6318388
Control,Medium Value,,192.5869022,71.80205974,69.84881168,No,192.5869022,-1.95324806,0,0
Treatment,Medium Value,256.8448068,414.8908017,84.67441404,88.69911216,No,158.0459949,4.02469812,20.92186,61.53365406
Treatment,Medium Value,120.0361217,201.2494276,,66.62747308,No,81.2133059,66.62747308,0.6,67.65738908
Control,Low Value,,240.6730096,49.37949506,44.7827676,No,240.6730096,-4.59672746,0,0
Control,Medium Value,211.3597402,254.2041717,71.95907019,83.07497147,Yes,42.8444315,11.11590128,17.87018,20.27085738
Control,Low Value,173.0941221,217.3933125,56.10021186,,No,44.2991904,-56.10021186,14.06405,25.5925446
Treatment,Low Value,214.73951,336.4986515,70.24902619,48.87704328,No,121.7591415,-21.37198291,17.45977,56.70085654
Treatment,High Value,193.3116034,306.7625797,47.77202242,50.81054947,Yes,113.4509763,3.03852705,12.06529,58.68813579
Treatment,Medium Value,,400.9134939,59.68350675,68.37475045,No,400.9134939,8.6912437,0,0
Treatment,High Value,183.4495757,290.2216361,67.17559971,74.74620367,No,106.7720604,7.57060396,16.72214,58.20240248
Control,High Value,,256.1054229,85.57134336,84.36857713,Yes,256.1054229,-1.20276623,0,0
Control,Low Value,155.4345105,185.533216,,64.49118894,,30.0987055,64.49118894,0.6,19.36423604
Control,Medium Value,125.5821869,158.1204384,70.73561837,74.5841082,Yes,32.5382515,3.84848983,17.57655,25.90992584
,Low Value,102.4015345,124.2167176,47.59369621,61.94330919,Yes,21.8151831,14.34961298,12.02249,21.3035705
,Low Value,187.8632717,237.4736534,53.69087708,58.13394409,Yes,49.6103817,4.44306701,13.48581,26.40770665
Control,Medium Value,248.2494045,302.5919948,68.93570616,63.34211953,No,54.3425903,-5.59358663,17.14457,21.89032051
Treatment,Low Value,,278.4561839,55.43705531,48.0653534,No,278.4561839,-7.37170191,0,0
Treatment,Medium Value,,355.1994145,72.21908713,88.8185118,Yes,355.1994145,16.59942467,0,0
,Medium Value,109.2028328,141.8916946,81.93980871,84.08983695,Yes,32.6888618,2.15002824,20.26555,29.9340786
Control,,173.8891995,209.7680209,49.3842746,55.53635608,Yes,35.8788214,6.15208148,12.45223,20.63315117
Treatment,,69.59001054,104.7063486,37.85145311,49.0248759,Yes,35.11633806,11.17342279,9.68435,50.46175132
Treatment,High Value,129.0666419,,68.44889888,63.63603363,Yes,-129.0666419,-4.81286525,17.02774,-100
Treatment,Low Value,217.6162355,337.1514644,51.72152361,50.49184729,Yes,119.5352289,-1.22967632,13.01317,54.92937079
Treatment,Medium Value,174.1452655,,,69.24322662,Yes,-174.1452655,69.24322662,0.6,-100
Control,High Value,206.3348107,244.0432434,92.90737582,,No,37.7084327,-92.90737582,22.89777,18.27536157
,Medium Value,204.4282927,248.5765016,77.31883585,74.81874364,No,44.1482089,-2.50009221,19.15652,21.59593876
Control,High Value,247.3398956,306.2217658,87.31761848,89.32896741,No,58.8818702,2.01134893,21.55623,23.80605444
Control,Low Value,,181.6946743,,51.46885298,No,181.6946743,51.46885298,0,0
Control,,,217.6025201,57.80302079,63.80320033,Yes,217.6025201,6.00017954,0,0
Treatment,Low Value,155.162392,254.0487817,55.08866132,,No,98.8863897,-55.08866132,13.82128,63.73090053
Control,Medium Value,105.8881944,121.546646,73.43940508,61.23083443,Yes,15.6584516,-12.20857065,18.22546,14.78772179
Treatment,High Value,,289.7507632,,,No,289.7507632,0,0,0
Control,,203.8462203,,97.77434635,,No,-203.8462203,-97.77434635,24.06584,-100
Control,High Value,172.7245832,,63.59551386,62.6027911,No,-172.7245832,-0.99272276,15.86292,-100
Control,Low Value,,,52.45147034,,Yes,0,-52.45147034,0,0
Control,Medium Value,220.3530579,260.3160203,,,Yes,39.9629624,0,0.6,18.13587829
Control,Low Value,,211.8341699,57.15394609,66.51888419,No,211.8341699,9.3649381,0,0
,Medium Value,,304.2179827,,,Yes,304.2179827,0,0,0
Treatment,Low Value,83.51745431,115.2686295,57.6501866,59.07681372,Yes,31.75117519,1.42662712,14.43604,38.01741259
Treatment,Medium Value,,313.1282191,77.0540018,,No,313.1282191,-77.0540018,0,0
Control,Medium Value,124.061037,147.2888881,70.37107332,,Yes,23.2278511,-70.37107332,17.48906,18.72292193
Control,High Value,190.9310716,222.3652082,89.86875596,100,Yes,31.4341366,10.13124404,22.1685,16.46360455
Treatment,Low Value,114.1989801,180.0762387,70.24902619,58.27092223,Yes,65.8772586,-11.97810396,17.45977,57.68638086
Control,,240.167216,283.6334278,86.20176049,88.62621789,Yes,43.4662118,2.4244574,21.28842,18.09831189
Control,,,349.6530557,100,100,No,349.6530557,0,0,0
Treatment,Low Value,,261.1634234,,55.23267558,Yes,261.1634234,55.23267558,0,0
Control,Medium Value,,225.7249304,63.68304743,74.24268718,No,225.7249304,10.55963975,0,0
Treatment,High Value,,391.8985776,77.31042259,75.54435959,Yes,391.8985776,-1.766063,0,0
Control,Low Value,183.2514817,224.1250238,56.0000887,69.04352863,No,40.8735421,13.04343993,14.04002,22.30461752
Treatment,Medium Value,171.4045334,277.5399675,70.35697238,,No,106.1354341,-70.35697238,17.48567,61.92101924
Control,High Value,216.2980214,258.2288053,78.59967019,,Yes,41.9307839,-78.59967019,19.46392,19.38565301
Control,High Value,313.2589716,373.7458759,79.83796466,79.68999241,No,60.4869043,-0.14797225,19.76111,19.30891364
,High Value,166.2185366,270.5805988,,100,No,104.3620622,100,0.6,62.78605523
Control,Medium Value,148.3109505,180.5533429,,89.37167877,Yes,32.2423924,89.37167877,0.6,21.73972474
Control,High Value,235.4718563,,100,100,Yes,-235.4718563,0,24.6,-100
Treatment,Medium Value,287.0297236,443.6149957,59.45040747,72.02320518,No,156.5852721,12.57279771,14.8681,54.55367832
Control,,203.3162008,241.4593748,76.77542242,,No,38.143174,-76.77542242,19.0261,18.76051876
Treatment,Low Value,82.81128524,134.2995893,45.21091867,53.76911728,No,51.48830406,8.55819861,11.45062,62.17546789
Control,,226.8063222,273.6092842,69.87867983,,,46.802962,-69.87867983,17.37088,20.6356514
Control,Low Value,142.1450938,174.6690213,45.46557949,,No,32.5239275,-45.46557949,11.51174,22.88079499
Control,Low Value,184.1950176,229.8170514,48.01131882,63.59294053,No,45.6220338,15.58162171,12.12272,24.76833217
,,95.18887409,118.6342568,,,No,23.44538271,0,0.6,24.63038137
Treatment,Medium Value,107.3265165,167.4276066,45.70772337,47.75615183,No,60.1010901,2.04842846,11.56985,55.99836095
,Low Value,153.4586842,192.7402015,,61.8160778,Yes,39.2815173,61.8160778,0.6,25.59745478
Treatment,High Value,286.8828043,452.9461325,85.04933427,90.84836237,Yes,166.0633282,5.7990281,21.01184,57.88542419
Control,Medium Value,118.2057014,153.8783616,59.5536922,69.01605358,No,35.6726602,9.46236138,14.89289,30.1784599
Control,Low Value,153.429487,183.7755699,59.71442629,66.32092226,,30.3460829,6.60649597,14.93146,19.77852074
Control,,115.1501177,141.4602127,64.91575854,80.55479709,No,26.310095,15.63903855,16.17978,22.84851768
Control,Medium Value,196.0682232,237.1784979,71.71208916,,No,41.1102747,-71.71208916,17.8109,20.96733169
,Medium Value,194.0533425,308.7456878,64.405624,61.77103974,No,114.6923453,-2.63458426,16.05735,59.10351444
Treatment,High Value,127.487777,206.6147015,,,Yes,79.1269245,0,0.6,62.06628303
Treatment,Low Value,221.9983506,350.9291229,33.89719533,,Yes,128.9307723,-33.89719533,8.73533,58.07735596
Treatment,Medium Value,,138.6678426,69.92563399,80.16523746,Yes,138.6678426,10.23960347,0,0
Control,Medium Value,256.6372027,314.4612337,82.70814904,88.85997545,No,57.824031,6.15182641,20.44996,22.53142973
Treatment,,,414.6203701,,,Yes,414.6203701,0,0,0
Treatment,Low Value,170.0182659,288.5966908,57.36051238,57.37078287,No,118.5784249,0.01027049,14.36652,69.74452084
Control,Medium Value,224.1363815,268.6370321,72.98299105,96.89472095,Yes,44.5006506,23.9117299,18.11592,19.85427368
,,176.5974247,212.6696359,53.43115447,52.6448401,,36.0722112,-0.78631437,13.42348,20.42623853
Control,,101.3234869,117.3006589,90.83919364,,Yes,15.977172,-90.83919364,22.40141,15.76847826
Control,Low Value,,227.9680854,,,No,227.9680854,0,0,0
Treatment,High Value,117.7902189,185.5967207,84.70793182,100,No,67.8065018,15.29206818,20.9299,57.56547737
Treatment,Low Value,159.4843235,255.2788757,60.9480493,63.71079703,Yes,95.7945522,2.76274773,15.22753,60.0651839
Control,,108.810463,,60.40510897,54.45266606,Yes,-108.810463,-5.95244291,15.09723,-100
Control,Low Value,205.9399562,251.3922859,,58.44117209,Yes,45.4523297,58.44117209,0.6,22.07067076
Control,,225.68436,263.287484,100,,No,37.603124,-100,24.6,16.66182096
Treatment,High Value,,391.7191685,76.75320718,65.68159773,No,391.7191685,-11.07160945,0,0
Treatment,High Value,,347.9683414,79.40385769,51.96485029,No,347.9683414,-27.4390074,0,0
Control,,304.6959003,374.7418505,78.7802043,,Yes,70.0459502,-78.7802043,19.50725,22.98880626
Control,,,,65.14414762,,Yes,0,-65.14414762,0,0
Treatment,Medium Value,265.6229052,423.9849568,63.08785561,59.00710305,Yes,158.3620516,-4.08075256,15.74109,59.61912489
Control,Medium Value,131.4000674,162.8850037,66.05416114,72.13514894,No,31.4849363,6.0809878,16.453,23.96112645
Control,,227.1511368,283.8511633,74.17848472,76,No,56.7000265,1.82151528,18.40284,24.96136594
Treatment,Medium Value,64.03958727,111.8448053,58.1527283,67.18681232,,47.80521803,9.03408402,14.55665,74.64947866
,Low Value,141.0502463,166.9242661,57.59466712,62.56237452,Yes,25.8740198,4.9677074,14.42272,18.3438317
Treatment,High Value,188.7618039,310.3806126,74.3342209,100,Yes,121.6188087,25.6657791,18.44021,64.42977667
Control,Low Value,179.8369121,218.9543004,64.97908066,76,Yes,39.1173883,11.02091934,16.19498,21.75159028
Control,Low Value,140.075139,178.953921,58.17407389,56.00478069,,38.878782,-2.1692932,14.56178,27.75566191
Treatment,,218.0378727,332.8477027,55.01731667,66.06553186,No,114.80983,11.04821519,13.80416,52.65591183
Treatment,,241.5355144,387.1292649,85.08442216,99.38877457,No,145.5937505,14.30435241,21.02026,60.27840289
Control,,176.302133,,69.16606305,61.67196872,Yes,-176.302133,-7.49409433,17.19986,-100
Treatment,,136.9253555,219.5606255,80.93310824,79.736176,No,82.63527,-1.19693224,20.02395,60.35059737
Control,,203.4354134,243.9379059,83.88990227,71.10870097,Yes,40.5024925,-12.7812013,20.73358,19.9092635
Control,High Value,195.8725953,242.8248645,83.49852504,83.47679271,No,46.9522692,-0.02173233,20.63965,23.970821
Treatment,High Value,163.5209777,252.5932435,86.30123954,100,Yes,89.0722658,13.69876046,21.3123,54.47146113
Control,Medium Value,172.3340995,201.1939884,63.96420847,82.60487232,No,28.8598889,18.64066385,15.95141,16.74647617
Control,,119.752372,143.0363869,75.90085945,100,No,23.2840149,24.09914055,18.81621,19.44346864
,,194.8024127,303.258702,51.99626437,61.11172184,No,108.4562893,9.11545747,13.0791,55.67502363
Treatment,Low Value,,301.6984264,61.17881908,,Yes,301.6984264,-61.17881908,0,0
,High Value,195.0682893,243.289772,78.21380364,100,No,48.2214827,21.78619636,19.37131,24.7203084
Treatment,,217.6734286,337.3221917,79.87966399,99.59270691,Yes,119.6487631,19.71304292,19.77112,54.96709629
Treatment,Medium Value,188.1084939,304.9477646,62.74229598,63.07592395,,116.8392707,0.33362797,15.65815,62.1127033
Treatment,Medium Value,257.5596478,411.6161288,68.49285921,75.13391941,No,154.056481,6.6410602,17.03829,59.8139042
Treatment,High Value,125.4181355,210.2168303,100,,,84.7986948,-100,24.6,67.61278539
Control,High Value,203.9638072,246.670882,95.37962447,,No,42.7070748,-95.37962447,23.49111,20.93855542
Control,Low Value,,261.4182344,54.87221625,61.67651374,Yes,261.4182344,6.80429749,0,0
Control,,253.1476392,305.9484054,73.97253369,82.53867971,No,52.8007662,8.56614602,18.35341,20.85769647
Treatment,Low Value,204.1836229,329.644461,,,No,125.4608381,0,0.6,61.44510334
Treatment,Low Value,122.1486939,207.2449672,44.92708977,53.69697004,No,85.0962733,8.76988027,11.3825,69.66613443
Treatment,Medium Value,96.85122881,165.9020022,,76.81282574,Yes,69.05077339,76.81282574,0.6,71.29571224
Treatment,High Value,183.1406711,290.4038367,91.06553597,100,Yes,107.2631656,8.93446403,22.45573,58.56873023
Treatment,High Value,206.4764783,318.0877471,56.95343424,,Yes,111.6112688,-56.95343424,14.26882,54.05519782
Treatment,Low Value,197.9215632,306.5635577,53.29661594,65.06849091,No,108.6419945,11.77187497,13.39119,54.89143919
Treatment,Low Value,106.5520167,163.7949999,44.38659638,47.89225368,Yes,57.2429832,3.5056573,11.25278,53.72304061
Control,Low Value,195.6650331,234.6025377,51.82816139,63.94953587,No,38.9375046,12.12137448,13.03876,19.90008331
,,42.02982645,53.84427617,,,,11.81444972,0,0.6,28.10968
,Medium Value,144.9693682,236.4849792,58.84241391,48.6228225,Yes,91.515611,-10.21959141,14.72218,63.12755042
Treatment,Low Value,190.7653607,307.8689887,51.27926702,57.54509592,,117.103628,6.2658289,12.90702,61.38621161
Treatment,Low Value,103.0300554,172.3083771,48.88704343,44.49594655,Yes,69.2783217,-4.39109688,12.33289,67.24088561
Control,High Value,142.1649919,181.0819546,,100,Yes,38.9169627,100,0.6,27.37450492
Control,High Value,170.6754474,208.3795687,80.89459964,99.02245836,No,37.7041213,18.12785872,20.0147,22.09112199
,High Value,206.9309586,,87.58322944,100,No,-206.9309586,12.41677056,21.61998,-100
Treatment,,,201.2826707,76.52069695,,No,201.2826707,-76.52069695,0,0
Control,Medium Value,186.5327747,229.7042951,76.54764185,75.66582308,No,43.1715204,-0.88181877,18.97143,23.14420105
Control,,173.0212681,210.4888832,75.690058,90.57501654,Yes,37.4676151,14.88495854,18.76561,21.65491879
Control,High Value,262.0677396,318.7285227,82.69297601,98.09622374,Yes,56.6607831,15.40324773,20.44631,21.62066311
Control,Low Value,141.0940176,171.0076013,63.25515879,63.06079044,No,29.9135837,-0.19436835,15.78124,21.20117083
Treatment,Low Value,173.9960388,263.337009,53.13080971,57.68092739,No,89.3409702,4.55011768,13.35139,51.3465541
Control,Medium Value,177.8643797,215.782811,77.23695152,,,37.9184313,-77.23695152,19.13687,21.31873249
Control,Medium Value,,202.5976744,88.84268831,98.83058396,Yes,202.5976744,9.98789565,0,0
Treatment,Low Value,,317.4475055,51.02325406,53.11210972,No,317.4475055,2.08885566,0,0
Control,,,,94.92331776,100,Yes,0,5.07668224,0,0
Control,Low Value,,162.7781742,59.32569937,61.29921873,,162.7781742,1.97351936,0,0
Control,Medium Value,194.4123847,234.2164578,53.70457549,57.88502375,Yes,39.8040731,4.18044826,13.4891,20.4740419
,Medium Value,137.1659727,206.3791165,72.04164413,,,69.2131438,-72.04164413,17.88999,50.45941237
Control,,201.3211665,248.9332818,63.8360204,66.84463571,Yes,47.6121153,3.00861531,15.92064,23.64983083
Treatment,Low Value,176.0981487,272.9885096,,30.22271151,No,96.8903609,30.22271151,0.6,55.02065843
,Low Value,141.8221943,228.5954866,50.82562844,59.82285629,Yes,86.7732923,8.99722785,12.79815,61.18456475
Control,Medium Value,,240.0168875,68.96739693,72.0826366,No,240.0168875,3.11523967,0,0
Control,High Value,,272.1510809,84.44294669,100,No,272.1510809,15.55705331,0,0
Control,,209.3205961,256.28239,49.82735863,46.76928084,Yes,46.9617939,-3.05807779,12.55857,22.43534309
Control,Medium Value,198.2306069,252.9867034,56.60569469,58.96780605,Yes,54.7560965,2.36211136,14.18537,27.62242287
Treatment,,228.0696577,358.1929099,71.99354098,74.20982803,Yes,130.1232522,2.21628705,17.87845,57.05417087
Control,Medium Value,268.8982812,333.3327326,61.03356524,53.55655238,Yes,64.4344514,-7.47701286,15.24806,23.96238872
Control,Low Value,120.1704972,149.2753347,,53.94212433,Yes,29.1048375,53.94212433,0.6,24.21961977
,,216.8958503,265.563735,36.70549095,30.8406361,Yes,48.6678847,-5.86485485,9.40932,22.43836599
Treatment,,145.625986,232.0933844,66.97897757,81.07709051,No,86.4673984,14.09811294,16.67495,59.37635224
Control,Medium Value,143.623561,182.0710766,82.92671784,98.53187279,No,38.4475156,15.60515495,20.50241,26.76964374
Control,Low Value,168.6325357,205.0906587,51.84310443,,Yes,36.458123,-51.84310443,13.04235,21.61986289
,,151.3521716,246.0980142,76.29710698,,Yes,94.7458426,-76.29710698,18.91131,62.59959246
,Medium Value,,230.0935498,59.55855969,76.40875933,No,230.0935498,16.85019964,0,0
Control,High Value,193.3776801,243.3062084,59.83312841,95.50422037,Yes,49.9285283,35.67109196,14.95995,25.81917845
Control,Low Value,147.348789,183.5338611,47.01854732,,No,36.1850721,-47.01854732,11.88445,24.55742755
,Low Value,129.7699069,163.5176072,36.83578625,,No,33.7477003,-36.83578625,9.44059,26.00579834
Control,,121.8914839,150.4509152,61.2241917,65.58782995,No,28.5594313,4.36363825,15.29381,23.43021053
Control,Medium Value,261.4287564,315.1085704,79.4293913,,Yes,53.679814,-79.4293913,19.66305,20.53324766
Treatment,High Value,132.8430754,215.8496951,,,No,83.0066197,0,0.6,62.48471699
Treatment,,190.9620743,306.5975901,100,100,Yes,115.6355158,0,24.6,60.55417874
Control,High Value,259.1726818,317.6642772,92.7999514,94.96572893,Yes,58.4915954,2.16577753,22.87199,22.56858053
Control,High Value,238.503233,298.1280149,,100,,59.6247819,100,0.6,24.99956967
Treatment,High Value,209.8409228,333.3701157,83.58598616,82.54623325,No,123.5291929,-1.03975291,20.66064,58.86801833
Control,High Value,154.9448763,181.2002913,67.72463992,71.02026023,No,26.255415,3.29562031,16.85391,16.94500369
Control,Medium Value,,243.7668889,58.12963071,62.76084785,No,243.7668889,4.63121714,0,0
Control,,129.4208085,160.9745203,100,100,Yes,31.5537118,0,24.6,24.38070985
Control,Medium Value,160.6110612,203.0362996,70.3445117,64.4653216,No,42.4252384,-5.8791901,17.48268,26.41489203
Control,,162.8011551,198.0743655,,68.14878086,No,35.2732104,68.14878086,0.6,21.66643743
Treatment,Low Value,158.6121737,265.6001125,56.58362492,56.39859322,No,106.9879388,-0.1850317,14.18007,67.4525393
Control,Medium Value,140.6794821,173.8231792,52.08640158,73.11061921,No,33.1436971,21.02421763,13.10074,23.55972357
Control,Medium Value,89.05914591,125.6263549,71.22835579,67.34819152,No,36.56720899,-3.88016427,17.69481,41.05946516
Control,High Value,273.7318944,332.2975444,81.02014034,76.71469443,Yes,58.56565,-4.30544591,20.04483,21.39525981
Treatment,Medium Value,235.1377185,384.6357138,75.26436518,84.96856857,Yes,149.4979953,9.70420339,18.66345,63.57890867
Treatment,High Value,249.0660724,390.6774545,,86.5326606,Yes,141.6113821,86.5326606,0.6,56.85695395
Treatment,High Value,222.7449139,362.6142448,93.98690957,100,Yes,139.8693309,6.01309043,23.15686,62.79350152
,High Value,220.4966685,354.9486585,64.63102431,88.74864605,Yes,134.45199,24.11762174,16.11145,60.97688047
Control,Low Value,140.586984,174.2840807,52.92199886,,No,33.6970967,-52.92199886,13.30128,23.96885952
Treatment,High Value,161.9770139,261.5115996,,97.84716553,Yes,99.5345857,97.84716553,0.6,61.44982137
Control,Medium Value,260.8667154,325.8079412,73.13631013,56.62738663,,64.9412258,-16.5089235,18.15271,24.89440851
Control,High Value,292.6738412,354.5348559,81.10821024,92.23458655,No,61.8610147,11.12637631,20.06597,21.13650282
Treatment,High Value,190.5882413,304.1494856,74.91354164,,No,113.5612443,-74.91354164,18.57925,59.58460161
Treatment,High Value,188.9549437,324.6089762,83.60488456,100,No,135.6540325,16.39511544,20.66517,71.79173503
Treatment,Low Value,194.2053525,311.6683778,61.56970344,46.9679967,Yes,117.4630253,-14.60170674,15.37673,60.48392786
Treatment,Medium Value,180.6428629,296.9858294,61.15659758,,,116.3429665,-61.15659758,15.27758,64.40496161
Treatment,Low Value,173.333208,273.4481348,52.26957603,46.68810656,No,100.1149268,-5.58146947,13.1447,57.75865338
Control,Medium Value,,219.659229,60.69075819,66.02497197,Yes,219.659229,5.33421378,0,0
Treatment,Low Value,,182.7497545,38.13711521,40.43592494,No,182.7497545,2.29880973,0,0
Treatment,Medium Value,,258.6634121,70.33251026,70.7949701,No,258.6634121,0.46245984,0,0
Treatment,Low Value,161.0312783,254.585601,,76,No,93.5543227,76,0.6,58.09698817
Control,High Value,,63.20383074,68.6639694,90.16763386,Yes,63.20383074,21.50366446,0,0
,Low Value,169.225674,255.9545363,59.19622374,,No,86.7288623,-59.19622374,14.80709,51.25041623
Control,Low Value,268.1103631,314.7051236,33.90044275,29.03885149,No,46.5947605,-4.86159126,8.73611,17.37894797
,High Value,176.282975,283.8543492,,84.46726442,Yes,107.5713742,84.46726442,0.6,61.02198706
Treatment,,198.3638587,305.8762594,,83.48362173,Yes,107.5124007,83.48362173,0.6,54.1995913
Control,Medium Value,131.9443908,151.7301589,72.96445062,79.20901701,Yes,19.7857681,6.24456639,18.11147,14.9955356
Treatment,Medium Value,119.7479854,,61.95385015,60.43076184,No,-119.7479854,-1.52308831,15.46892,-100
Control,Medium Value,168.055832,193.9883329,61.59219212,80.51698067,No,25.9325009,18.92478855,15.38213,15.43088424
Control,Low Value,190.4543241,228.7874392,42.72641746,51.64401661,Yes,38.3331151,8.91759915,10.85434,20.127196
Control,Medium Value,167.6530351,201.1486187,46.59486278,63.41863837,No,33.4955836,16.82377559,11.78277,19.97910958
Treatment,Low Value,143.2952241,231.8583287,49.42243587,54.90909174,Yes,88.5631046,5.48665587,12.46138,61.80464503
Treatment,Low Value,182.9634085,291.2680183,46.50934294,45.10236059,No,108.3046098,-1.40698235,11.76224,59.19468307
Treatment,Medium Value,,305.9456264,63.30808733,83.33954099,,305.9456264,20.03145366,0,0
Control,Medium Value,192.3291134,238.838395,63.61703895,78.27625225,,46.5092816,14.6592133,15.86809,24.18213279
Treatment,Low Value,209.5857017,322.7188753,,,Yes,113.1331736,0,0.6,53.97943308
Control,High Value,260.6686612,313.9778393,85.90169473,100,No,53.3091781,14.09830527,21.21641,20.45093486
Treatment,,279.1854646,434.3246707,,85.65140993,No,155.1392061,85.65140993,0.6,55.56851118
,Low Value,107.598622,132.3905024,,66.02890981,No,24.7918804,66.02890981,0.6,23.04107612
Control,Medium Value,230.9078165,268.3816753,91.52037969,96.25251262,Yes,37.4738588,4.73213293,22.56489,16.22892606
Control,Low Value,236.007399,299.410374,52.85682698,52.977685,No,63.402975,0.12085802,13.28564,26.86482512
Treatment,Low Value,,147.3967631,61.31805323,,No,147.3967631,-61.31805323,0,0
Control,,173.1692342,214.1672223,70.61651643,,Yes,40.9979881,-70.61651643,17.54796,23.67509927
Control,High Value,166.9670638,191.0273222,91.08430822,100,No,24.0602584,8.91569178,22.46023,14.41018238
Control,Low Value,163.6784251,201.2240098,49.52899041,44.53314495,Yes,37.5455847,-4.99584546,12.48696,22.93862779
Control,,252.6174783,306.0208225,84.09920372,83.55656475,Yes,53.4033442,-0.54263897,20.78381,21.14000368
